position,peak
19,565
55,447
76,563
113,405
132,437
172,541
202,358
236,525
265,509
295,456
326,497
362,536
398,447
434,550
467,445
496,434
525,423
552,429
578,557
606,535
647,500
675,422
704,502
734,406
768,471
800,461
830,547
859,404
888,498
916,600
951,488
986,330
1024,389
1053,544
1082,489
1110,582
1150,319
1192,456
1228,512
1265,515
1298,483
1326,486
1353,473
1379,480
1406,464
1436,417
1462,483
1493,539
1527,466
1562,452
1595,334
1630,423
1661,456
1690,505
1721,493
1753,545
1782,501
1813,391
1845,395
1875,409
1904,459
1936,547
1967,425
1994,507
2023,477
2056,416
2086,422
2114,423
2146,403
2173,430
2200,485
2231,430
2258,513
2296,435
2316,428
2342,519
2369,506
2399,411
2426,377
2453,461
2479,423
2506,474
2533,386
2558,403
2584,488
2610,532
2663,514
2715,419
2741,458
2769,453
2798,521
2826,487
2855,534
2884,418
2914,540
2943,432
2972,548
3000,514
3027,486
3054,474
3080,496
3106,433
3135,409
3166,480
3195,416
3222,427
3251,434
3282,502
3313,549
3343,432
3371,524
3399,467
3427,477
3455,547
3482,542
3537,513
3575,454
3595,580
3624,475
3651,440
3680,548
3708,402
3735,506
3762,469
3789,529
3826,434
3867,497
3893,449
3918,511
3944,435
3975,496
4004,494
4031,483
4061,523
4089,418
4117,527
4147,413
4175,405
4202,532
4228,492
4259,493
4287,542
4312,468
4349,427
4390,506
4416,544
4443,431
4469,421
4495,497
4548,523
4576,503
4603,402
4631,421
4657,375
4687,421
4714,459
4743,498
4770,437
4802,427
4831,488
4860,485
4888,402
4916,538
4945,525
4973,455
5001,482
5030,441
5058,471
5088,531
5145,528
5174,500
5203,479
5230,431
5257,508
5284,529
5313,418
5352,532
5387,444
5420,398
5453,472
5483,432
5512,471
5541,420
5571,428
5602,528
5629,503
5659,459
5688,480
5717,519
5744,430
5771,543
5798,503
5824,453
5853,546
5897,460
5930,524
5966,444
6004,443
6038,467
6071,563
6108,449
6141,505
6173,550
6204,421
6237,513
6265,504
6294,559
6325,581
6353,530
6384,410
6412,516
6446,450
6477,550
6515,462
6533,466
6561,465
6591,474
6618,518
6646,443
6676,488
6706,410
6735,527
6765,560
6796,567
6825,383
6854,465
6882,401
6910,389
6937,401
6963,504
6990,482
7016,477
7041,500
7092,532
7118,543
7147,531
7173,483
7202,498
7253,411
7280,397
7305,552
7330,537
7356,529
7383,475
7411,513
7438,482
7464,444
7492,423
7522,432
7550,510
7578,441
7605,527
7633,412
7659,537
7685,442
7714,518
7741,537
7772,539
7799,502
7829,496
7857,486
7883,405
7910,526
7937,457
7965,583
8017,459
8046,530
8077,498
8105,523
8136,435
8163,529
8192,412
8223,555
8253,524
8281,413
8309,401
8336,533
8366,434
8393,384
8420,452
8447,518
8475,566
8501,448
8528,480
8554,494
8580,487
8607,511
8633,556
8687,480
8714,502
8741,500
8770,440
8798,517
8824,413
8854,510
8883,557
8920,440
8940,437
8968,422
8997,544
9027,521
9056,395
9083,486
9114,451
9141,448
9171,469
9199,411
9229,533
9256,488
9286,463
9315,484
9342,481
9375,612
9406,545
9436,525
9464,542
9493,463
9521,536
9549,513
9579,516
9605,503
9635,518
9665,517
9692,502
9722,456
9749,520
9787,444
9814,439
9832,466
9857,462
9912,482
9938,418
9965,523
9992,545
10020,476
10047,494
10074,511
10104,469
10133,446
10160,484
10189,495
10215,424
10242,527
10272,477
10302,445
10329,398
10359,543
10386,527
10416,448
10445,506
10474,532
10501,527
10532,443
10560,400
10587,474
10615,562
10645,444
10671,525
10701,596
10728,511
10756,448
10785,542
10812,431
10840,550
10870,454
10900,560
10930,525
10957,419
10989,520
11018,468
11045,445
11076,529
11104,462
11134,446
11164,483
11195,431
11223,540
11254,483
11283,435
11310,521
11337,404
11366,539
11404,441
11421,556
11450,478
11477,515
11508,530
11538,496
11565,480
11595,558
11623,406
11650,503
11680,573
11709,506
11735,501
11765,582
11794,538
11821,455
11852,561
11881,462
11909,390
11936,494
11963,474
11989,434
12016,386
12044,471
12072,539
12100,437
12125,474
12179,419
12207,434
12237,413
12265,421
12293,521
12322,544
12355,418
12386,320
12420,549
12450,485
12481,500
12513,491
12546,509
12579,492
12609,542
12641,451
12671,513
12702,396
12735,425
12767,496
12796,423
12826,498
12856,557
12884,507
12913,542
12944,438
12972,398
13000,435
13028,394
13055,548
13084,516
13113,437
13145,402
13175,543
13207,495
13235,534
13266,445
13296,515
13324,473
13356,493
13386,569
13413,461
13443,457
13472,588
13500,487
13527,510
13557,544
13585,487
13615,537
13642,502
13670,558
13698,504
13727,551
13757,367
13785,494
13820,605
13856,439
13888,522
13918,428
13946,494
13977,520
14007,454
14034,449
14064,418
14093,498
14120,404
14149,429
14179,420
14206,529
14237,578
14269,588
14299,553
14330,491
14361,448
14390,493
14423,583
14452,441
14483,429
14513,460
14541,450
14572,373
14598,410
14630,577
14658,515
14686,502
14717,469
14745,483
14774,451
14805,589
