position,peak
13,628
39,588
65,588
91,574
118,504
145,645
171,507
195,632
220,643
245,660
272,558
298,661
325,513
350,607
375,661
400,646
426,662
452,656
479,661
506,586
531,660
558,604
585,660
612,658
638,654
665,656
692,499
721,647
748,581
776,659
803,653
830,618
856,659
882,653
907,573
931,520
957,594
983,614
1011,524
1038,646
1065,656
1091,656
1117,643
1144,603
1170,661
1196,661
1221,557
1247,499
1272,655
1298,658
1325,658
1351,625
1377,652
1403,660
1430,660
1458,556
1486,647
1513,573
1540,520
1567,641
1595,615
1622,657
1649,658
1675,644
1701,660
1727,521
1753,658
1779,539
1806,639
1832,653
1857,662
1883,579
1908,549
1935,655
1962,613
1989,654
2015,567
2040,511
2064,661
2088,661
2112,542
2138,659
2165,627
2192,658
2219,649
2245,598
2272,587
2298,579
2326,587
2353,583
2381,654
2409,528
2436,538
2462,659
2489,559
2515,661
2542,526
2570,639
2597,656
2624,543
2650,627
2677,584
2704,635
2733,617
2761,539
2788,545
2814,645
2840,546
2868,613
2895,608
2923,605
2950,636
2976,662
3003,655
3031,658
3059,658
3087,660
3114,659
3140,660
3166,661
3193,661
3220,658
3247,632
3273,593
3298,661
3323,610
3350,572
3377,638
3404,657
3430,660
3456,660
3483,659
3510,537
3538,655
3564,655
3590,659
3615,659
3641,545
3669,632
3695,581
3722,604
3747,597
3772,609
3797,662
3822,557
3847,507
3875,600
3902,543
3929,657
3954,578
3980,637
4006,610
4033,554
4061,595
4088,524
4115,658
4143,660
4171,639
4199,513
4227,605
4254,569
4280,532
4307,522
4335,562
4362,622
4390,642
4417,534
4443,563
4468,638
4494,653
4521,658
4548,657
4575,656
4602,609
4628,661
4654,659
4680,601
4706,491
4733,584
4759,573
4784,661
4810,662
4836,592
4863,632
4889,496
4916,644
4942,661
4968,521
4996,654
5024,658
5050,661
5076,631
5101,661
5128,663
5154,654
5180,598
5207,600
5233,661
5258,620
5284,625
5310,607
5335,657
5360,655
5385,662
5411,661
5438,655
5465,646
5492,605
5517,635
5543,660
5569,660
5596,656
5621,604
5647,656
5672,637
5698,662
5724,659
5749,531
5774,633
5798,625
5822,634
5847,660
5874,652
5902,660
5930,640
5957,565
5984,508
6011,526
6036,572
6062,650
6087,663
6113,579
6141,620
6168,554
6196,641
6224,655
6251,587
6278,613
6304,520
6331,660
6359,578
6389,660
6417,663
6444,660
6471,610
6499,577
6526,659
6553,660
6580,648
6606,658
6632,662
6658,657
6683,454
6709,655
6734,552
6762,560
6791,576
6821,643
6848,626
6875,619
6901,662
6930,662
6960,660
6988,659
7014,557
7042,554
7070,610
7099,642
7130,661
7160,621
7190,522
7220,659
7249,598
7277,521
7305,650
7332,661
7361,550
7389,627
7417,653
7445,600
7471,661
7498,661
7527,627
7555,661
7583,552
7611,644
7637,659
7664,656
7691,661
7720,654
7747,660
7773,519
7800,645
7826,659
7852,640
7878,627
7904,632
7931,641
7957,627
7982,569
8006,662
8030,660
8056,642
8083,662
8111,570
8140,590
8167,661
8193,595
8221,653
8249,661
8277,660
8305,604
8332,660
8358,569
8384,661
8410,661
8437,660
8465,518
8492,557
8520,542
8546,625
8571,660
8597,608
8624,660
8652,556
8679,518
8706,588
8732,658
8758,659
8783,661
8809,656
8834,661
8860,612
8885,481
8909,662
8933,662
8958,661
8984,660
9011,619
9037,576
9063,660
9089,532
9114,658
9139,560
9166,659
9192,551
9219,659
9245,661
9271,653
9298,655
9325,662
9353,660
9381,648
9409,562
9436,661
9462,657
9489,661
9517,662
9545,660
9573,605
9600,660
9627,662
9653,656
9680,609
9708,625
9736,532
9763,541
9791,660
9818,661
9844,595
9871,660
9898,587
9924,608
9951,528
9977,661
10004,660
10030,649
10056,660
10083,662
10110,660
10137,660
10164,657
10190,655
10217,651
10244,571
10270,604
10295,661
10320,660
10346,658
10372,656
10397,559
10423,661
10449,658
10474,486
10501,546
10527,584
10552,662
10578,660
10605,618
10631,565
10658,660
10685,524
10711,475
10737,531
10763,653
10789,580
10815,661
10841,660
10867,661
10893,660
10919,660
10945,661
10972,584
10998,612
11023,658
11049,640
11076,662
11103,621
11129,647
11156,644
11181,622
11207,548
11231,661
11256,658
11281,659
11306,661
11332,594
11356,661
11381,662
11407,643
11433,659
11461,662
11489,624
11518,663
11546,594
11573,540
11599,617
11624,662
11651,661
11678,585
11705,661
11731,661
11756,595
11782,601
11807,662
11833,586
11858,662
11883,662
11907,601
11932,663
11957,639
11983,662
12009,662
12035,639
12061,502
12087,563
12112,654
12138,661
12163,559
12189,641
12214,659
12240,526
12265,659
12289,635
12314,664
12339,584
12364,632
12389,662
12413,659
12438,661
12463,596
12488,661
12513,528
12539,646
12563,636
12588,635
12612,662
12636,623
12661,661
12686,546
12710,661
12734,644
12758,605
12782,553
12807,585
12834,651
12860,660
12887,587
12913,660
12939,620
12964,634
12989,584
13014,663
13038,660
13063,662
13089,662
13115,639
13142,650
13168,589
13193,658
13219,661
13245,559
13271,522
13296,658
13321,619
13345,532
13371,655
13397,533
13424,662
13452,629
13479,542
13506,662
13532,660
13558,532
13585,649
13611,661
13638,621
13664,592
13691,662
13718,659
13745,635
13773,659
13800,562
13827,656
13853,536
13879,583
13905,558
13932,624
13959,576
13985,662
14012,554
14038,557
14064,600
14090,598
14116,589
14142,663
14169,564
14196,662
14223,618
14251,585
14279,629
14307,659
14335,588
14362,648
14390,661
14419,661
14448,584
14477,609
14504,659
14531,662
14558,647
14586,602
14614,661
14641,661
14667,658
14694,662
14721,593
14750,662
14778,580
14807,660
